id,highlights,masked_highlights
10027376,Evaluation of a protocol for the non-operative management of perforated peptic ulcer.,Ev<mask>luation of a <mask> for the non-operative management of perforated peptic ulcer.
10029610,Assessing activity of pediatric Crohn's disease: which index to use?,Assessing <mask> <mask> pediatric Crohn's disease: which <mask> to use?
10049413,Differences in endoscopic and clinicopathological features of primary and secondary gastric non-Hodgkin's lymphoma. German Gastrointestinal Lymphoma Study Group.,<mask> <mask> endoscopic and clinicopathological features <mask> primary and secondary gastric <mask> lymphoma. <mask> Gastrointestinal Lymphoma Study Group.
10050982,Evaluation of clinical benefit of chemotherapy in patients with upper gastrointestinal cancer.,Evaluation <mask> <mask> benefit <mask> chemotherapy <mask> patients with upper gastrointestinal cancer.
10051939,Massive gastrointestinal hemorrhage after transoesophageal echocardiography probe insertion.,Massive gastrointestinal hemorrhage after <mask> <mask> probe insertion.
10067734,Nitrous oxide sedation in pediatric patients undergoing gastrointestinal endoscopy.,Nitrous oxide sedation <mask> pediatric <mask> undergoing <mask> endoscopy.
10072016,A double-blinded evaluation of propacetamol versus ketorolac in combination with patient-controlled analgesia morphine: analgesic efficacy and tolerability after gynecologic surgery.,A double-blinded <mask> of propacetamol versus ketorolac in <mask> with patient-controlled <mask> morphine: analgesic <mask> <mask> tolerability after gynecologic surgery.
10074734,Watermelon stomach--an unusual cause of recurrent upper gastrointestinal bleeding in a uremic patient receiving estrogen-progesterone therapy: case report.,W<mask>termelon <mask> unusual cause of recurrent upper gastro<mask>testinal bleeding in a uremic <mask> receiving <mask> therapy: case report.
10077040,Response to neoadjuvant chemotherapy best predicts survival after curative resection of gastric cancer.,Response to neoadjuvant <mask> best <mask> survival <mask> <mask> resection of gastric cancer.
10081243,"Clinical features, diagnosis and treatment of benign nonepithelial tumors of stomach.","Clinical features, <mask> and <mask> of benign nonepithelial <mask> of stomach."
10084729,Adenovirus enterocolitis in human small bowel transplants.,Adenovirus enterocolitis <mask> human small <mask> transplants.
10086662,The effects of biofeedback on rectal sensation and distal colonic motility in patients with disorders of rectal evacuation: evidence of an inhibitory rectocolonic reflex in humans?,The effects <mask> bi<mask>eedback <mask> rectal sensation <mask>d distal colonic motility in patients with disorders <mask> rectal <mask> evidence of an <mask> rectocolonic reflex in humans?
10087585,The economic evaluation of group examination for gastrointestinal disease in an electronics corporation--the cost-benefit analysis of follow-up study for peptic ulcer.,The economic <mask> of group examination for gastrointestinal <mask> in <mask> electronics corporation--the <mask> analysis of <mask> study for <mask> ulcer.
10089991,Myocardial infarction complicating gastrointestinal hemorrhage.,Myocardial <mask> <mask> gastrointestinal hemorrhage.
10090295,Heart rate and the rate-pressure product as determinants of cardiovascular risk in patients with hypertension.,Heart <m<mask>k> and the rate-pressure product as determinants <mask> cardiovascular <mask> in patients with hypertension.
10090432,"Safety profile of sparfloxacin, a new fluoroquinolone antibiotic.",Safety profile of <mask> a new <mask> antibiotic.
1009343,Clinical diagnosis of abdominal tuberculosis.,<mask> <mask> of abdominal tuberculosis.
10094757,Current management of endoscopic feeding tube dysfunction.,<mask> management of endoscopic <mask> tube dysfunction.
10095814,Hereditary haemorrhagic telangiectasia: a population-based study of prevalence and mortality in Danish patients.,<mask> <mask> <mask> a population-based study of prevalence and mortality in <mask> patients.
10100083,Controlled study of the effect of angiotensin converting enzyme inhibition versus calcium-entry blockade on insulin sensitivity in overweight hypertensive patients: Trandolapril Italian Study (TRIS).,Controlled study <mask> the effect <mask> <mask> converting enzyme inhibition versus calcium-entry blockade on insulin <mask> in overweight hypertensive <mask> Trandolapril <mask> Study (TRIS).
10101629,"Effectiveness of Harpagophytum extract WS 1531 in the treatment of exacerbation of low back pain: a randomized, placebo-controlled, double-blind study.","Effectiveness of Harpagophytum extract <mask> 1531 <mask> the <mask> of exacerbation of low <mask> pain: a randomized, placebo-controlled, double-blind study."
10102212,Diseases and problems secondary to massive obesity.,Diseases <mask> problems secondary to <mask> obesity.
10102214,Performance standards in bariatric surgery.,Performance <mask> <mask> bariatric surgery.
10102233,Identification of factors that influence tolerance of upper gastrointestinal endoscopy.,Identification of factors <mask> <mask> <mask> of upper gastrointestinal endoscopy.
10102966,Is routine histological evaluation an accurate test for Helicobacter pylori infection?,<mask> routine <mask> <mask> an accurate test for Helicobacter pylori infection?
1015894,Comparison of Payne and Scott operations for morbid obesity.,Comparison of Payne <mask> Scott operations <mask> <mask> obesity.
101921,General aspects of intravenous feeding of cancer patients.,General aspects of intravenous feeding of <mask> patients.
10192108,Peppermint oil-caraway oil fixed combination in non-ulcer dyspepsia--comparison of the effects of enteric preparations.,Peppermint <mask> oil <mask> combination in non-ulcer <mask> of <mask> effects of enteric preparations.
10192991,The blue rubber bleb nevus syndrome or Bean's syndrome. A rare cause of digestive hemorrhage.,<mask> blue rubber bleb nevus syndrome or Bean's syndrome. A <mask> cause <mask> <mask> hemorrhage.
1020386,Learning gastroenterologic endoscopy.,<mask> gastroenterologic endoscopy.
10205203,Notable postnatal alterations in the myenteric plexus of normal human bowel.,Notable postnatal alterations in the <mask> plexus <mask> <mask> human bowel.
10205328,Effect of nutritional status on use of health care resources by patients with chronic disease living in the community.,Effect <mask> nutritional status on use <mask> health care <mask> by <mask> with <mask> disease <mask> in the community.
10206456,Nasogastric tube feedings in children with high-risk cancer: a pilot study.,<mask> tube feedings in children with <mask> <mask> a pilot study.
10217188,Prospective evaluation for upper gastrointestinal tract acute graft-versus-host disease after hematopoietic stem cell transplantation.,Prospective evaluation for upper gastrointestinal <mask> acute graft-versus-host <mask> <mask> <mask> stem cell transplantation.
10222308,Immune-mediated effects upon oral challenge of ovalbumin-sensitized Brown Norway rats: further characterization of a rat food allergy model.,Immune-mediated effects upon oral <mask> <mask> ovalbumin-sensitized <mask> Norway <mask>s: <mask> characterization <mask> a rat food allergy model.
10226868,Effects of doxazosin in the gastrointestinal therapeutic system formulation versus doxazosin standard and placebo in mild-to-moderate hypertension. Doxazosin Investigators' Study Group.,Effects <mask> doxazos<mask> <mask> <mask> gastrointestinal therapeutic <mask> <mask> versus doxazosin standard and <mask> in mild-to-moderate hypertension. Doxazosin Investigators' Study Group.
1026810,Side effects of clofazimine therapy.,<mask> effects of <mask> therapy.
10296153,"Enumerative, Bayesian, and analytic statistical analysis of nosocomial infection for quality improvement: first of two parts.","<mask> Bayesian, <mask> analytic statistical <mask> of nosocomial infection for quality improvement: <mask> of two parts."
