,highlights,paraphrased_highlights
0,Evaluation of a protocol for the non-operative management of perforated peptic ulcer.,Evaluation of a protocol for non-operative management of the perforated peptic ulcer
1,Assessing activity of pediatric Crohn's disease: which index to use?,Assessment of the activity of pediatric Crohn’ s Disease: Which index to use?
2,Differences in endoscopic and clinicopathological features of primary and secondary gastric non-Hodgkin's lymphoma. German Gastrointestinal Lymphoma Study Group.,The differences in endoscopic and clinicopathological features of primary and secondary gastric non-Hodgkin's lymphoma. German Gastrointestinal Lymphoma Study Group
3,Evaluation of clinical benefit of chemotherapy in patients with upper gastrointestinal cancer.,Evaluation of clinical benefit of chemotherapy in patients with upper-gastrointestinal cancer.
4,Massive gastrointestinal hemorrhage after transoesophageal echocardiography probe insertion.,Massive gastrointestinal hemorrhage after transoesophageal echocardiography probe insertion.
5,Nitrous oxide sedation in pediatric patients undergoing gastrointestinal endoscopy.,Nitrous oxide sedation in pediatric patients undergoing gastroendoscopy.
6,A double-blinded evaluation of propacetamol versus ketorolac in combination with patient-controlled analgesia morphine: analgesic efficacy and tolerability after gynecologic surgery.,A double-blind evaluation of propacetamol versus ketorolac in combination with patient-controlled analgesic morphine: analgesic efficacy and tolerability after gynecologic surgery
7,Watermelon stomach--an unusual cause of recurrent upper gastrointestinal bleeding in a uremic patient receiving estrogen-progesterone therapy: case report.,Watermelon stomach--an unusual cause of recurrent upper gastrointestinal bleeding in a uremic patient receiving estrogen-progesterone therapy: case report.
8,Response to neoadjuvant chemotherapy best predicts survival after curative resection of gastric cancer.,The best predicts survival after neoadjuvant chemotherapy of gastric cancer.
9,"Clinical features, diagnosis and treatment of benign nonepithelial tumors of stomach.","Clinical features, diagnosis and treatment of benign nonepithelial tumors of the stomach."
10,Adenovirus enterocolitis in human small bowel transplants.,Adenovirus enterocolitis in human small bowel transplants.
11,The effects of biofeedback on rectal sensation and distal colonic motility in patients with disorders of rectal evacuation: evidence of an inhibitory rectocolonic reflex in humans?,The effects of biofeedback on rectal sensation and distal colonic motility in patients with rectal evacuation disorders: evidence of an inhibitory rectocolonic reflex in humans?
12,The economic evaluation of group examination for gastrointestinal disease in an electronics corporation--the cost-benefit analysis of follow-up study for peptic ulcer.,The economic evaluation of group examination for gastrointestinal disease in an electronics corporation -- the cost-benefit analysis of follow-up study for peptic ulcer
13,Myocardial infarction complicating gastrointestinal hemorrhage.,Myocardial infarction complicating gastroenterology hemorrhage.
14,Heart rate and the rate-pressure product as determinants of cardiovascular risk in patients with hypertension.,Heart rate and the blood pressure product as determinants of cardiovascular risk in patients with hypertension.
15,"Safety profile of sparfloxacin, a new fluoroquinolone antibiotic.","Safety profile of sparfloxacin, a new fluoroquinolone antibiotic."
16,Clinical diagnosis of abdominal tuberculosis.,Clinical diagnosis of abdominal tuberculosis
17,Current management of endoscopic feeding tube dysfunction.,Current management of endoscopic tube dysfunction
18,Hereditary haemorrhagic telangiectasia: a population-based study of prevalence and mortality in Danish patients.,Hereditary haemorrhagic telangiectasia: a population-based study of prevalence and mortality in Danish patients
19,Controlled study of the effect of angiotensin converting enzyme inhibition versus calcium-entry blockade on insulin sensitivity in overweight hypertensive patients: Trandolapril Italian Study (TRIS).,Controlled study of the effect of angiotensin converting enzyme inhibition versus calcium-entry blockade on insulin sensitivity in overweight hypertensive patients: TRIS (Trivia Italian Study)
20,"Effectiveness of Harpagophytum extract WS 1531 in the treatment of exacerbation of low back pain: a randomized, placebo-controlled, double-blind study.","Effects of the walpagophytum extract WS 1531 on the treatment of exacerbation of low back pain : a randomized, placebo-controlled, double-blind study"
21,Diseases and problems secondary to massive obesity.,Diseases and problems secondary to massive obesity
22,Performance standards in bariatric surgery.,Performance standards in bariatric surgery.
23,Identification of factors that influence tolerance of upper gastrointestinal endoscopy.,Identification of factors that influence the tolerance of upper gastrointestinal endoscopy.
24,Is routine histological evaluation an accurate test for Helicobacter pylori infection?,Is the routine histological evaluation an accurate test for Helicobacter pylori infection?
25,Comparison of Payne and Scott operations for morbid obesity.,Comparative treatment of morbid obesity to Payne and Scott.
26,General aspects of intravenous feeding of cancer patients.,General aspects of intravenous feeding of cancer patients.
27,Peppermint oil-caraway oil fixed combination in non-ulcer dyspepsia--comparison of the effects of enteric preparations.,Peppermint oil-caraway oil in the non-ulcer dyspepsia-comparison of the effects of enteric preparations
28,The blue rubber bleb nevus syndrome or Bean's syndrome. A rare cause of digestive hemorrhage.,"The blue rubber bleb nevus syndrome or Bean syndrome, is a rare cause of digestive hemorrhage."
29,Learning gastroenterologic endoscopy.,Learning gastroenterologic endoscopy.
30,Notable postnatal alterations in the myenteric plexus of normal human bowel.,Remarkable postnatal alterations in the myenteric plexus of the normal human bowel.
31,Effect of nutritional status on use of health care resources by patients with chronic disease living in the community.,The effect of nutritional status on use of health care resources by patients living in the community with chronic health disease.
32,Nasogastric tube feedings in children with high-risk cancer: a pilot study.,Nasogastric tube feeding in children with high-risk cancer: a pilot study
33,Prospective evaluation for upper gastrointestinal tract acute graft-versus-host disease after hematopoietic stem cell transplantation.,Prospective evaluation for upper gastrointestinal tract acute graft-versus-host disease after hematopoietic stem cell transplantation
34,Immune-mediated effects upon oral challenge of ovalbumin-sensitized Brown Norway rats: further characterization of a rat food allergy model.,Immune-mediated effects on oral challenge of ovalbumin-sensitized Brown Norway rats: further characterization of a rat food allergy model.
35,Effects of doxazosin in the gastrointestinal therapeutic system formulation versus doxazosin standard and placebo in mild-to-moderate hypertension. Doxazosin Investigators' Study Group.,"The effects of doxazosin in the gastrointestinal therapeutic system formulation versus doxazosin standard and placebo in mild-to-moderate hypertension, Doxazosin Investigators Study Group."
36,Side effects of clofazimine therapy.,Side effects of Clofazimine therapy.
37,"Enumerative, Bayesian, and analytic statistical analysis of nosocomial infection for quality improvement: first of two parts.","Enumerative, Bayesian and analytic statistical analysis of nosocomial infection for quality improvement: first of two parts."
38,Nonspecific esophageal motility disorders in children without gastroesophageal reflux.,Nonspecific esophageal motility disorders in children without gastroesophageal reflux.
39,The effect of pancreatic enzyme supplementation in patients with steatorrhoea after total gastrectomy.,The effect of pancreatic enzyme supplementation in patients with steatorrhoea after total gastrectomy
40,The world's first obesity surgery performed by a surgeon at a distance.,The world's first obesity surgery by a surgeon from a distance.
41,Prospective comparative evaluation of video US endoscope.,Prospective comparative evaluation of video - Endoscope
42,Endoscopic hydrogen peroxide spray may facilitate localization of the bleeding site in acute upper gastrointestinal bleeding.,Endoscopic hydrogen peroxide spray may assist in the localization of the bleeding site in acute upper digestive bleeding.
43,Reversal of type 1 hepatorenal syndrome with the administration of midodrine and octreotide.,Reversal of Hepatorenal Syndrome type 1 with administration of midodrine and octreotide
44,Pineal metastasis as first clinical manifestation of colorectal adenocarcinoma. Case report.,Pineal metastasis as the first clinical manifestation of colorectal adenocarcinoma. Case report.
45,Medical treatment of obesity from a multi professional perspective.,"For example, the treatment of obesity from a multi-professional perspective."
46,Round Table: Urticaria in relation to infections.,Round Table: Urticaria in relation to infections.
47,The patterns of small bowel motility: physiology and implications in organic disease and functional disorders.,The patterns of small intestinal motility: physiology and implications in organic disease and functional disorders.
48,"The pharmacological properties of the novel selective 5-HT3 receptor antagonist, alosetron, and its effects on normal and perturbed small intestinal transit in the fasted rat.","The pharmacological properties of the novel selective 5-HT3 receptor antagonist, Alosetron, and his effects on normal and disturbed small intestinal transit in the fasted rat."
49,The utility of technetium 99m pertechnetate scintigraphy in the evaluation of patients with Meckel's diverticulum.,The usefulness of technetium 99m pertechnetate scintigraphy in the evaluation of patients with Meckel diverticulum.
50,Food allergy. Part 2: diagnosis and management.,Part 2: Food allergy diagnosis and management.
51,"Contribution of diet, tumour volume and patient-related factors to weight loss in patients with colorectal liver metastases.","To see the contribution of diet, tumour volume and patient-related factors to weight loss in patients with colorectal liver metastases"
52,Radiofrequency ablation followed by resection of malignant liver tumors.,Radiofrequency ablation followed by the resection of malignant liver tumors.
53,Duodenogastric reflux: clinical and therapeutic aspects.,Duodenogastric reflux: clinical and therapeutic aspects
54,Epidemiology of Crohn's disease in the Rijeka-Istra region.,Epidemiology of Crohn's disease in the Rijeka region of Istra.
55,Realities of diagnosing Helicobacter pylori infection in clinical practice: a case for non-invasive indirect methodologies.,Realities of diagnosing Helicobacter pylori infection in clinical practice: a case for non-invasive indirect methodologies.
56,Medical consequences of substance abuse.,Medical consequences of substance abuse.
57,Chronic acalculous cholecystitis: reproduction of pain with cholecystokinin and relief of symptoms with cholecystectomy.,Chronic acalculous cholecystitis: reproduction of pain with cholecystokinin and relief of symptoms with cholecystectomy.
58,Continuous subcutaneous infusion of glucagon-like peptide 1 lowers plasma glucose and reduces appetite in type 2 diabetic patients.,Continuous subcutaneous infusion of glucagon-like peptide 1 lowers plasma glucose and reduces appetite in Type 2 diabetic patients.
59,"Lowering of diastolic blood pressure < or = 90 mmHg should not be attempted, except in type 2 diabetics; the 'Hypertension optimal treatment' (HOT) trial.","The lowering of diastolic blood pressure should not be attempted  or = 90 mmHg, except in type 2 diabetics; the trial of 'optimal hypertension treatment' (HOT)."
60,Fatal ulcerative panenteritis following colectomy in a patient with ulcerative colitis.,"In a patient with ulcerative colitis, fatal ulcerative panenteritis followed by colectomy."
61,Dose effect of dicyclomine on the reduction of peristaltic artifacts on MRI of the abdomen.,Dose effect of dicyclomine on the reduction of peristaltic artifacts on MRI of the abdomen.
62,Surgical excision of heterotopic bone after hip surgery followed by oral indomethacin application: is there a clinical benefit for the patient?,The surgical excision of heterotopic bone after hip surgery with oral indomethacin application - is there a clinical benefit for the patient?
63,A risk-benefit assessment of metformin in type 2 diabetes mellitus.,The risk-benefit assessment of metformin in Type 2 diabetes mellitus
64,Postoperative ad lib feeding for hypertrophic pyloric stenosis.,Postoperative ad lib feeding for hypertrophic pyloric stenosis.
65,Effect of upper gastrointestinal endoscopy on circulation in the elderly.,Effect of upper gastrointestinal endoscopy on circulation in the elderly.
66,Role of surgical biopsies in the management of bone marrow transplant patients.,Role of surgical biopsies in the management of bone marrow transplant patients
67,Lymphonodular hyperplasia as a sign of food allergy in children.,Lymphonodular hyperplasia as a sign of food allergy in children.
68,Imaging the patient with acute abdominal pain: current concepts.,Imaging the patient with acute abdominal pain: current concepts
69,Gall bladder emptying in severe idiopathic constipation.,Gall bladder emptying in severe idiopathic constipation.
70,"A double-blind, placebo-controlled trial of diclofenac/misoprostol in Alzheimer's disease.","A double-blind, placebo-controlled trial of diclofenac/misoprostol in Alzheimer's disease."
71,Prostate brachytherapy: treatment strategies.,Prostate brachytherapy : treatments strategies
72,Fourier analysis of pupil oscillations for measuring central activation in psychosomatic patients.,Fourier analysis of pupil oscillations to measure the central activation in psychosomatic patients.
73,"Spontaneous bacterial peritonitis in hepatic cirrhosis: prevalence, predictive factors and prognosis.","Spontaneous bacterial peritonitis in hepatic cirrhosis: prevalence, predictive factors and prognosis."
